Quiz,Treatment,Score
Pre,Control,5
Pre,Control,3
Pre,Control,3
Pre,Control,4
Pre,Control,5
Pre,Control,3
Pre,Control,5
Pre,Control,6
Pre,Control,4
Pre,Control,4
Pre,Control,5
Pre,Control,7
Pre,Control,4
Pre,Control,4
Pre,Control,3
Pre,Control,4
Pre,Control,6
Pre,Control,5
Pre,Control,6
Pre,Control,6
Pre,Control,6
Pre,Control,6
Pre,Control,7
Pre,Control,6
Pre,Control,6
Pre,Control,5
Pre,Control,3
Pre,Control,4
Pre,Control,5
Pre,Control,3
Pre,Control,6
Pre,Control,5
Pre,Control,5
Pre,Control,5
Pre,Control,5
Pre,Control,5
Pre,Control,5
Pre,Control,6
Pre,Control,5
Pre,Control,1
Pre,Control,4
Pre,Control,5
Pre,Control,6
Pre,Control,7
Pre,Control,4
Pre,Control,6
Pre,Control,5
Pre,Control,5
Pre,Control,5
Pre,Control,5
Pre,Experiment,5
Pre,Experiment,5
Pre,Experiment,4
Pre,Experiment,4
Pre,Experiment,6
Pre,Experiment,5
Pre,Experiment,7
Pre,Experiment,4
Pre,Experiment,4
Pre,Experiment,7
Pre,Experiment,7
Pre,Experiment,4
Pre,Experiment,5
Pre,Experiment,7
Pre,Experiment,7
Pre,Experiment,3
Pre,Experiment,7
Pre,Experiment,6
Pre,Experiment,5
Pre,Experiment,5
Pre,Experiment,4
Pre,Experiment,5
Pre,Experiment,5
Pre,Experiment,8
Pre,Experiment,5
Pre,Experiment,5
Pre,Experiment,5
Pre,Experiment,4
Pre,Experiment,8
Pre,Experiment,6
Pre,Experiment,5
Pre,Experiment,6
Pre,Experiment,5
Pre,Experiment,5
Pre,Experiment,4
Pre,Experiment,4
Pre,Experiment,7
Pre,Experiment,6
Pre,Experiment,5
Pre,Experiment,7
Pre,Experiment,5
Pre,Experiment,5
Pre,Experiment,3
Pre,Experiment,6
Pre,Experiment,3
Pre,Experiment,4
Pre,Experiment,6
Pre,Experiment,5
Pre,Experiment,4
Pre,Experiment,4
Post,Control,6
Post,Control,6
Post,Control,4
Post,Control,4
Post,Control,4
Post,Control,6
Post,Control,4
Post,Control,7
Post,Control,5
Post,Control,4
Post,Control,9
Post,Control,9
Post,Control,5
Post,Control,6
Post,Control,9
Post,Control,5
Post,Control,8
Post,Control,7
Post,Control,6
Post,Control,6
Post,Control,8
Post,Control,7
Post,Control,5
Post,Control,7
Post,Control,5
Post,Control,6
Post,Control,8
Post,Control,7
Post,Control,5
Post,Control,6
Post,Control,5
Post,Control,9
Post,Control,3
Post,Control,5
Post,Control,7
Post,Control,5
Post,Control,6
Post,Control,7
Post,Control,8
Post,Control,5
Post,Control,6
Post,Control,5
Post,Control,6
Post,Control,7
Post,Control,5
Post,Control,7
Post,Control,7
Post,Control,5
Post,Control,6
Post,Control,7
Post,Experiment,9
Post,Experiment,9
Post,Experiment,8
Post,Experiment,7
Post,Experiment,8
Post,Experiment,7
Post,Experiment,8
Post,Experiment,9
Post,Experiment,10
Post,Experiment,9
Post,Experiment,10
Post,Experiment,6
Post,Experiment,8
Post,Experiment,8
Post,Experiment,10
Post,Experiment,9
Post,Experiment,8
Post,Experiment,9
Post,Experiment,9
Post,Experiment,8
Post,Experiment,5
Post,Experiment,9
Post,Experiment,3
Post,Experiment,8
Post,Experiment,6
Post,Experiment,8
Post,Experiment,10
Post,Experiment,7
Post,Experiment,10
Post,Experiment,9
Post,Experiment,8
Post,Experiment,7
Post,Experiment,7
Post,Experiment,8
Post,Experiment,5
Post,Experiment,9
Post,Experiment,8
Post,Experiment,9
Post,Experiment,10
Post,Experiment,8
Post,Experiment,7
Post,Experiment,10
Post,Experiment,9
Post,Experiment,8
Post,Experiment,7
Post,Experiment,8
Post,Experiment,7
Post,Experiment,8
Post,Experiment,7
Post,Experiment,7
