MDT,MaxTemperatureF,MeanTemperatureF,MinTemperatureF,MaxDewPointF,MeanDewPointF,MinDewpointF,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressureIn,MeanSeaLevelPressureIn,MinSeaLevelPressureIn,MaxVisibilityMiles,MeanVisibilityMiles,MinVisibilityMiles,MaxWindSpeedMPH,MeanWindSpeedMPH,MaxGustSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees_br__
2005-09-01,86,68,49,41,33,22,56,33,10,30.05,29.98,29.89,10,10,10,15,7,17,0,2,,184<br />
2005-09-02,91,73,55,47,38,25,61,36,10,30.15,29.98,29.9,10,10,10,23,9,28,0,3,,190<br />
2005-09-03,94,74,54,42,36,27,51,31,10,30.01,29.93,29.86,10,10,10,23,11,29,0,4,,180<br />
2005-09-04,90,76,61,44,40,35,43,30,17,29.94,29.87,29.83,10,10,10,16,9,21,0,4,,290<br />
2005-09-05,90,76,61,46,41,36,55,35,15,30.11,29.9,29.84,10,10,10,17,8,22,NaN,5,Thunderstorm,232<br />
2005-09-06,78,67,56,52,46,43,77,57,36,30.32,30.08,29.93,10,10,10,18,9,22,0,5,,298<br />
2005-09-07,90,72,54,53,47,33,83,49,14,30.26,30.04,29.93,10,10,10,21,9,23,0,4,,180<br />
2005-09-08,92,75,57,53,48,43,80,49,18,30.06,29.91,29.77,10,10,10,21,8,26,0,6,Thunderstorm,269<br />
2005-09-09,89,75,61,54,47,42,60,40,19,29.9,29.69,29.6,10,10,10,31,10,35,0.01,5,Rain,224<br />
2005-09-10,90,78,66,46,36,25,44,27,9,29.67,29.6,29.52,10,10,10,25,12,30,0,4,,201<br />
2005-09-11,90,74,58,36,30,22,37,23,9,29.78,29.7,29.64,10,10,10,20,10,24,0,3,,189<br />
2005-09-12,87,69,51,36,28,11,48,27,6,29.81,29.7,29.59,10,10,10,21,7,28,0,3,,82<br />
2005-09-13,70,57,44,44,30,23,71,45,19,30.06,29.95,29.84,10,10,10,25,10,29,NaN,4,Rain,83<br />
2005-09-14,75,61,46,44,39,34,86,56,26,30.06,29.96,29.84,10,10,10,35,16,44,0.01,4,Rain-Thunderstorm,201<br />
2005-09-15,79,62,45,39,28,18,71,41,11,30.15,30.01,29.93,10,10,10,22,11,28,0,1,,190<br />
2005-09-16,83,67,50,36,28,19,56,33,10,30,29.87,29.72,10,10,10,18,9,22,0,3,,192<br />
2005-09-17,87,66,44,28,19,11,39,22,5,29.92,29.75,29.64,10,10,10,21,9,31,0,1,,258<br />
2005-09-18,82,66,49,50,35,21,72,44,15,29.94,29.87,29.79,10,10,10,18,9,22,0,4,,25<br />
2005-09-19,83,66,48,52,40,23,93,53,12,30.33,30.13,29.95,10,7,0,16,7,18,0,3,Fog,118<br />
2005-09-20,91,71,50,41,28,13,59,33,6,30.18,30.09,30,10,10,10,15,8,22,0,4,,191<br />
2005-09-21,87,72,57,50,38,28,60,39,17,30.09,29.89,29.8,10,10,4,40,12,48,NaN,6,Rain,231<br />
2005-09-22,75,63,50,52,48,43,83,58,33,30.21,29.99,29.89,10,10,8,23,10,28,NaN,6,Rain,114<br />
2005-09-23,84,66,47,47,41,33,86,52,17,29.94,29.82,29.69,10,10,10,20,7,23,0,4,,199<br />
2005-09-24,71,61,51,52,46,37,89,68,47,29.84,29.76,29.7,10,10,10,14,6,17,0,5,,29<br />
